time,"I(IIN_A)","I(IIN_B)","I(ICLK1)","I(ICLK2)","I(LOUT)"
1.894500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.894750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.895000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.895250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.895500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.895750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.896000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.896250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.896500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.896750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.897000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.897250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.897500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.897750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.898000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.898250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.898500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.898750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.899000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.899250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.899500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.899750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.900000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.900250e-09,2.000000e-05,2.000000e-05,1.481250e-03,1.481250e-03,2.302004e-05
1.900500e-09,2.000000e-05,2.000000e-05,1.462500e-03,1.462500e-03,2.300125e-05
1.900750e-09,2.000000e-05,2.000000e-05,1.443750e-03,1.443750e-03,2.293506e-05
1.901000e-09,2.000000e-05,2.000000e-05,1.425000e-03,1.425000e-03,2.279780e-05
1.901250e-09,2.000000e-05,2.000000e-05,1.406250e-03,1.406250e-03,2.258406e-05
1.901500e-09,2.000000e-05,2.000000e-05,1.387500e-03,1.387500e-03,2.230951e-05
1.901750e-09,2.000000e-05,2.000000e-05,1.368750e-03,1.368750e-03,2.200199e-05
1.902000e-09,2.000000e-05,2.000000e-05,1.350000e-03,1.350000e-03,2.168769e-05
1.902250e-09,2.000000e-05,2.000000e-05,1.331250e-03,1.331250e-03,2.138091e-05
1.902500e-09,2.000000e-05,2.000000e-05,1.312500e-03,1.312500e-03,2.108255e-05
1.902750e-09,2.000000e-05,2.000000e-05,1.293750e-03,1.293750e-03,2.078566e-05
1.903000e-09,2.000000e-05,2.000000e-05,1.275000e-03,1.275000e-03,2.048242e-05
1.903250e-09,2.000000e-05,2.000000e-05,1.256250e-03,1.256250e-03,2.016699e-05
1.903500e-09,2.000000e-05,2.000000e-05,1.237500e-03,1.237500e-03,1.983318e-05
1.903750e-09,2.000000e-05,2.000000e-05,1.218750e-03,1.218750e-03,1.947018e-05
1.904000e-09,2.000000e-05,2.000000e-05,1.200000e-03,1.200000e-03,1.906045e-05
1.904250e-09,2.000000e-05,2.000000e-05,1.181250e-03,1.181250e-03,1.858172e-05
1.904500e-09,2.000000e-05,2.000000e-05,1.162500e-03,1.162500e-03,1.801169e-05
1.904750e-09,2.000000e-05,2.000000e-05,1.143750e-03,1.143750e-03,1.733205e-05
1.905000e-09,2.000000e-05,2.000000e-05,1.125000e-03,1.125000e-03,1.652911e-05
1.905250e-09,2.000000e-05,2.000000e-05,1.106250e-03,1.106250e-03,1.559141e-05
1.905500e-09,2.000000e-05,2.000000e-05,1.087500e-03,1.087500e-03,1.450664e-05
1.905750e-09,2.000000e-05,2.000000e-05,1.068750e-03,1.068750e-03,1.326122e-05
1.906000e-09,2.000000e-05,2.000000e-05,1.050000e-03,1.050000e-03,1.184467e-05
1.906250e-09,2.000000e-05,2.000000e-05,1.031250e-03,1.031250e-03,1.025870e-05
1.906500e-09,2.000000e-05,2.000000e-05,1.012500e-03,1.012500e-03,8.528836e-06
1.906750e-09,2.000000e-05,2.000000e-05,9.937500e-04,9.937500e-04,6.714535e-06
1.907000e-09,2.000000e-05,2.000000e-05,9.750000e-04,9.750000e-04,4.912084e-06
1.907250e-09,2.000000e-05,2.000000e-05,9.562500e-04,9.562500e-04,3.245528e-06
1.907500e-09,2.000000e-05,2.000000e-05,9.375000e-04,9.375000e-04,1.845589e-06
1.907750e-09,2.000000e-05,2.000000e-05,9.187500e-04,9.187500e-04,8.231511e-07
